"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"Ohio University-Main Campus","Ohio","Athens",1,"Online MBA in Business Analytics","M","College of Business","Online","35 credit hours","Not Available","http://onlinemba.ohio.edu/lp-responsive-portals/?Access_Code=OU-MBABA-FA2015A&utm_source=email&utm_campaign=OU-MBABA-FA2015A",39.3268,-82.1011
"University of Cincinnati","Ohio","Cincinnati",3,"Doctor of Philosopy in Biostatistics - Big Data Track","M","College Of Medicine","Campus","90 Credit Hours","Not Available","https://eh.uc.edu/bio/academic-programs/phd-biostatistics/big-data/",39.1312,-84.5143
"University of Cincinnati","Ohio","Cincinnati",3,"Master of Science in Business Analytics","M","Lindner College of Business","Campus","35 credit hours","math, computer science","http://med.uc.edu/eh/divisions/bio/how-to-apply",39.1312,-84.5143
"University of Cincinnati","Ohio","Cincinnati",3,"Master of Science in Health Informatics","M","College of Allied Health Sciences","Online","36 credit hours/1 year","Not Available","https://eh.uc.edu/assets/uploads/2014/12/PhD-BIOS-Big-Data-required_courses.pdf",39.1312,-84.5143
"Wittenberg University","Ohio","Springfield",1,"Master of Science in Analytics","M","Graduate school","Campus and online","12 months","Not Available","http://www.wittenberg.edu/academics/analytics",39.9375,-83.8141
"Oklahoma State University-Main Campus","Oklahoma","Stillwater",3,"Graduate Certificate in Business Data Mining","C","Spears School of Business","Campus or Online","12 Credit Hours","Not Available","http://analytics.okstate.edu/certificate/grad-data-mining/",36.1231,-97.0697
"Oklahoma State University-Main Campus","Oklahoma","Stillwater",3,"Graduate Certificate in Marketing Analytics","C","Spears School of Business","Campus or Online","12 Credit Hours","Not Available","https://analytics.okstate.edu/certificate/grad-data-mining/admissions/",36.1231,-97.0697
"Oklahoma State University-Main Campus","Oklahoma","Stillwater",3,"Master of Science in Business Analytics","M","Spears School of Business","Campus or Online","37 Credit Hours","Not Available","http://www.ou.edu/content/coe/academics/graduate/academics/datascience1/dsacurriculum.html",36.1231,-97.0697
"Southwestern Oklahoma State University","Oklahoma","Weatherford",1,"M.S. Healthcare Informatics & Information Management","M","Allied Health","Online","36 credit hours","Not Available","http://www.swosu.edu/academics/him/programs/graduate/curriculum.aspx",35.5346,-98.708
"University of Oklahoma Norman Campus","Oklahoma","Norman",2,"Master of Data Science and Analytics","M","College of Engineering","Campus or Online","33 units","Not Available","http://www.ou.edu/content/coe/academics/graduate/academics/datascience1.html",35.2082,-97.4457
"University of Oklahoma Norman Campus","Oklahoma","Norman",2,"MS in Management Information Systems","M","Division of Management Information Systems","Campus","32 credits","Not Available","http://www.ou.edu/content/coe/academics/graduate/apply.html",35.2082,-97.4457
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Online Master of Science in Business Intelligence & Analytics","M","Erivan K. Haub School of Business","Online","39 credits","Not Available","http://online.sju.edu/programs/business-intelligence-course.asp",39.9944,-75.2383
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Master of Science in Business Intelligence & Analytics Program","M","Erivan K. Haub School of Business","Campus","39 credits","Not Available","http://online.sju.edu/admissions/apply.asp",39.9944,-75.2383
"Saint Joseph's University","Pennsylvania","Philadelphia",3,"Online Master's in Health Administration: Informatics Specialization","M","St Joseph's University Online","Online","42 hours","Not Available","http://online.sju.edu/programs/business-intelligence-curriculum.asp",39.9944,-75.2383
"Villanova University","Pennsylvania","Villanova",3,"Online Master of Science in Analytics","M","School of Business","Online","33 hours","statistics","http://www1.villanova.edu/villanova/business/graduate/specializedprograms/msa/programinfo.html",40.0394,-75.3455
"Villanova University","Pennsylvania","Villanova",3,"Graduate Certificate in Applied Statistics","C","Liberal Arts and Sciences","Campus","15 credits","math","http://www1.villanova.edu/villanova/business/graduate/specializedprograms/msa/applicationprocess.html",40.0394,-75.3455
"Villanova University","Pennsylvania","Villanova",3,"Master of Science in Applied Statistics","M","Liberal Arts and Sciences","Campus","30 credits","math, statistics","http://www1.villanova.edu/villanova/business/graduate/specializedprograms/msa/curriculum.html",40.0394,-75.3455
"Albright College","Pennsylvania","Reading",1,"M.S. in Business Intelligence","M","Erivan K. Haub School of Business","Online","30 credits","Not Available","http://www.albright.edu/accelerated/masters-degree-articulations.html",40.3602,-75.9101
"Carnegie Mellon University","Pennsylvania","Pittsburgh",4,"Master of Computational Data Science (MCDS)","M","School of Computer Science","Campus","144 units/16 months","technical bachelor's degree","http://mcds.cs.cmu.edu/",40.4446,-79.9429
"Carnegie Mellon University","Pennsylvania","Pittsburgh",4,"Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA)","M","Heinz College","Campus or Online","144 units","computer science","http://mcds.cs.cmu.edu/learn-us-admission",40.4446,-79.9429
"Carnegie Mellon University","Pennsylvania","Pittsburgh",4,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)","M","Heinz College","Campus or Online","144 units","computer science","http://mcds.cs.cmu.edu/learn-us-curriculum",40.4446,-79.9429
"Carnegie Mellon University","Pennsylvania","Pittsburgh",4,"MBA: Business Analytics Track","M","Tepper School of Business","Campus","21 months full time/32 months part time","Not Available","http://www.cmu.edu/hub/tuition/graduate/index.html",40.4446,-79.9429
"Drexel University","Pennsylvania","Philadelphia",3,"Certificate in Healthcare Informatics","C","Drexel University's Institute for Healthcare Informatics","Online","9 credit hours","Not Available","http://online.drexel.edu/online-degrees/information-sciences-degrees/cert-hci/index.aspx",39.9549,-75.1887
"Drexel University","Pennsylvania","Philadelphia",3,"M.S. in Business Analytics","M","LeBow College of Business","Campus","45 credit hours","Not Available","http://online.drexel.edu/online-degrees/information-sciences-degrees/cert-hci/index.aspx#admissionscriteria",39.9549,-75.1887
"Drexel University","Pennsylvania","Philadelphia",3,"Online Master's in Health Informatics","M","College of Computing and Informatics","Online","45 credits","Not Available","http://catalog.drexel.edu/graduate/collegeofcomputingandinformatics/healthinformatics/#certificateinhealthcareinformaticstext",39.9549,-75.1887
"Harrisburg University of Science and Technology","Pennsylvania","Harrisburg",1,"Online Master of Science in Analytics","M","Graduate Education","Online","36 credit hours","math, statistics","http://www.harrisburgu.edu/academics/graduate/analytics/online-analytics.php",40.2613,-76.8808
"Misericordia University","Pennsylvania","Dallas",2,"Health Care Informatics Graduate Certificate","C","College of Health Sciences","Online","18 credits","Not Available","http://www.misericordia.edu/page.cfm?p=1117",41.3448,-75.971
"Misericordia University","Pennsylvania","Dallas",2,"Health Informatics Master's Program","M","College of Health Sciences","Online","36 credits","Not Available","http://www.misericordia.edu/page.cfm?p=1117",41.3448,-75.971
"Pennsylvania State University-Penn State Great Valley","Pennsylvania","Malvern",2,"Graduate Certificate in Data Analytics","C","School of Graduate Professional Studies","Campus","15 Credits","Not Available","http://greatvalley.psu.edu/Academics/Degrees/33643.htm",40.0528,-75.5213
"Pennsylvania State University-Penn State Great Valley","Pennsylvania","Malvern",2,"Master of Professional Studies in Data Analytics","M","School of Graduate Professional Studies","Campus","30 Credits","Not Available","http://greatvalley.psu.edu/Academics/Degrees/33643.htm",40.0528,-75.5213
"Pennsylvania State University-World Campus","Pennsylvania","University Park",4,"Graduate Certificate in Applied Statistics","C","Eberly College of Science","Online","12 credits","Not Available","http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses",40.8327,-77.8417
"Pennsylvania State University-World Campus","Pennsylvania","University Park",4,"Graduate Certificate in Business Analytics","C","Smeal College of Business","Online","9 credits","Not Available","http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/apply",40.8327,-77.8417
"Pennsylvania State University-World Campus","Pennsylvania","University Park",4,"Master of Applied Statistics","M","Eberly College of Science","Online","30 credit hours","math","http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses",40.8327,-77.8417
"Pennsylvania State University-World Campus","Pennsylvania","University Park",4,"Master of Professional Studies in Data Analytics","M","Penn State World Campus","Online","30 units","Not Available","http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/costs",40.8327,-77.8417
"Philadelphia University","Pennsylvania","Philadelphia",1,"M.S. in Modeling, Simulation and Data Analytics","M","Kanbar College of Design, Engineering, and Commerce","Online","30 credits","Not Available","http://www.philau.edu/msda/curriculum.html",40.0223,-75.1943
"University of Pittsburgh-Bradford","Pennsylvania","Bradford",2,"Master's Degree in Biomedical Informatics","M","Department of Biomedical Informatics","Campus","36 credit hours/2 years","Not Available","http://www.dbmi.pitt.edu/training-programs",41.9442,-78.673
"University of Pittsburgh-Bradford","Pennsylvania","Bradford",2,"Master's Degree in Biostatistics","M","Graduate School of Public Health","Campus","36 credit hours","math, computer science","http://www.dbmi.pitt.edu/content/apply-program",41.9442,-78.673
"University of Pittsburgh-Pittsburgh Campus","Pennsylvania","Pittsburgh",2,"Business Analytics Certificate","C","Joseph M. Katz Graduate School of Business and College of Business Administration","Campus","10.5 Credits","Not Available","http://www.business.pitt.edu/katz/mba/academics/certificates/analytics",40.4445,-79.9547
"University of Pittsburgh-Pittsburgh Campus","Pennsylvania","Pittsburgh",2,"MSIS - Big Data Analytics","M","School of Information Sciences","Campus","36 credit hours","computer science, statistics, math","http://www.business.pitt.edu/katz/mba/admissions/requirements.php",40.4445,-79.9547
"Medical University of South Carolina","South Carolina","Charleston",1,"Master of Science in Health Informatics","M","College of Health Professions","Online","36 credit hours/ 14 months","Not Available","http://academicdepartments.musc.edu/chp/MSHI/",32.786,-79.9469
"University of South Carolina-Columbia","South Carolina","Columbia",1,"Master of Applied Statistics","M","Department of Statistics","Online","30 credit hours","math","http://www.sc.edu/stat_dist/mas.shtml",33.999,-81.027
"Dakota State University","South Dakota","Madison",1,"Master of Science in Analytics (MSA)","M","Graduate Office","Online","24 credit hours","statistics, computer science","http://dsu.edu/graduate-students/msa",44.0127,-97.1096
"South Dakota State University","South Dakota","Brookings",1,"MS in Data Science","M","Department of Mathematics and Statistics","Campus","30 credits","math, statistics, computer science","http://www.sdstate.edu/mathstat/grad/masters-in-data-science.cfm",44.3194,-96.7834
"Austin Peay State University","Tennessee","Clarksville",2,"Professional Science Master's Degree in Predictive Analytics","M","Department of Mathematics and Statistics","Online","2 years","Not Available","https://www.apsu.edu/csci/psm-information",36.5333,-87.3541
"Austin Peay State University","Tennessee","Clarksville",2,"Professional Science Master's in Data Management and Analysis","M","Department of Computer Science and Information Technology","Online","2 years","Not Available","http://www.apsu.edu/admissions/apply",36.5333,-87.3541
"Middle Tennessee State University","Tennessee","Murfreesboro",2,"Master of Science in Information Systems (Business Intelligence and Analytics Concentration)","M","Department of Computer Information Systems","Campus","30 credits","Not Available","http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0",35.8491,-86.3621
"Middle Tennessee State University","Tennessee","Murfreesboro",2,"Master of Science in Professional Science (M.S.) with a concentration in Health Care Informatics","M","College of Basic and Applied Sciences","Campus","36 credit hours","Not Available","http://www.mtsu.edu/programs/information-systems-ms/index.php#t-0",35.8491,-86.3621
"Tennessee Technological University","Tennessee","Cookeville",1,"Professional Science Master's Degree in Environmental Informatics","M","College of Interdisciplinary Studies","Hybrid","33 credit hours","technical bachelor's degree","https://www.tntech.edu/is/ses/psm/psmei",36.1747,-85.504
"The University of Tennessee at Chattanooga","Tennessee","Chattanooga",1,"Professional MBA with Business Analytics","M","College of Business","Online","48 credit hours","Not Available","http://www.utc.edu/college-business/academic-programs/mba/index.php",35.0482,-85.2998
"The University of Tennessee","Tennessee","Knoxville",2,"Master of Science in Business Analytics","M","Haslam College of Business","Campus","38 credit hours","Not Available","http://bus.utk.edu/soms/analytics/",35.9551,-83.9297
"The University of Tennessee","Tennessee","Knoxville",2,"MBA with Business Analytics Concentration","M","Haslam College of Business","Campus","17 months full time (Business Analytics concentration)","statistics, financial accounting","http://bas.utk.edu/academic-programs/masters/business-analytics/admission-requirements.asp",35.9551,-83.9297
"University of Memphis","Tennessee","Memphis",1,"Master's Program in Bioinformatics","M","College of Arts and Sciences","Campus","37 credit hours","computer science, math, biology","http://memphis.edu/binf/",35.1159,-89.982
"Southern Methodist University","Texas","Dallas",4,"Online Master of Science in Data Science","M","Data Science","Online","32 credits","technical bachelor's degree","http://datascience.smu.edu/",32.8453,-96.7849
"Southern Methodist University","Texas","Dallas",4,"M.S. in Applied Statistics and Data Analytics","M","Dedman College of Humanities & Sciences","Campus","36 credit hours","math, statistics","https://datascience.smu.edu/admissions/admissions-requirements/",32.8453,-96.7849
"Southern Methodist University","Texas","Dallas",4,"Master of Science in Applied Economics and Predictive Analytics","M","Department of Economics","Campus","36 credit hours","math, statistics","http://datascience.smu.edu/academics/curriculum/",32.8453,-96.7849
"Southern Methodist University","Texas","Dallas",4,"Master of Science in Business Analytics","M","Cox School of Business","Campus","33 credit hours","Not Available","http://datascience.smu.edu/admissions/tuition-and-financial-aid/",32.8453,-96.7849
"Tarleton State University","Texas","Stephenville",1,"M.S. in Mathematical Data Mining","M","Department of Mathematics","Campus","15 months","technical bachelor's degree","http://www.tarleton.edu/Costweb/math/degrees/graduate.html#MSDataMining",32.2157,-98.2201
"Texas A & M University-College Station","Texas","College Station",3,"Graduate Certificate in Statistics","C","Department of Statistics","Online","12 Credits","Not Available","http://online.stat.tamu.edu/content_link.php?page=certificates",30.6132,-96.3403
"Texas A & M University-College Station","Texas","College Station",3,"M.S. in Analytics","M","Department of Statistics","Campus","36 credit hours","statistics","http://online.stat.tamu.edu/app_process_certificates.php",30.6132,-96.3403
"Texas A & M University-College Station","Texas","College Station",3,"Online M.S. in Applied Statistics","M","Department of Statistics","Online","36 credit hours","math","http://online.stat.tamu.edu/content_link.php?page=certificates",30.6132,-96.3403
"Texas Tech University","Texas","Lubbock",1,"Master of Science in Data Science","M","Rawls College of Business","Campus","36 credit hours","Not Available","https://www.depts.ttu.edu/rawlsbusiness/graduate/ms/datascience/",33.5803,-101.877
"Texas Woman's University","Texas","Denton",1,"Master of Science in Informatics","M","Department of Mathematics & Computer Science","Campus","36 Credits","technical bachelor's degree","http://www.twu.edu/informatics/graduate-program/",33.227,-97.1291
"The University of Texas at Arlington","Texas","Arlington",1,"M.S. in Business Analytics","M","Department of Information Systems and Operations Management","Campus","36 credit hours","Not Available","http://www.uta.edu/msba",32.7284,-97.1151
"The University of Texas at Austin","Texas","Austin",1,"Master of Science in Business Analytics","M","Red McCombs School of Business","Campus","36 credit hours/10 months","Not Available","http://www.mccombs.utexas.edu/business-analytics.aspx",30.2866,-97.7394
"The University of Texas at Dallas","Texas","Richardson",4,"Graduate Certificate in Business Intelligence and Data Mining","C","Naveen Jindal School of Management","Online","12 Credits","Not Available","http://jindal.utdallas.edu/isom/information-systems-programs/certificate-programs/#01-sas-ut-dallas-data-mining-and-bi",32.9894,-96.7484
"The University of Texas at Dallas","Texas","Richardson",4,"Master of Science in Business Analytics","M","Jindal School of Management","Campus","36+ credit hours","math","http://www.utdallas.edu/admissions/graduate/steps-to-admission/apply-now/",32.9894,-96.7484
"The University of Texas at Dallas","Texas","Richardson",4,"Master of Science in Healthcare Management with Specialization in Healthcare informatics","M","Naveen Jindal School of Management","Hybrid","36 credit hours","Not Available","http://jindal.utdallas.edu/isom/information-systems-programs/certificate-programs/#01-sas-ut-dallas-data-mining-and-bi",32.9894,-96.7484
"The University of Texas at Dallas","Texas","Richardson",4,"Master of Science in Marketing with Specialization in Marketing Analytics","M","Naveen Jindal School of Management","Hybrid","36 credit hours","Not Available","https://www.utdallas.edu/isso/i20-expenses/",32.9894,-96.7484
"The University of Texas at San Antonio","Texas","San Antonio",2,"Master of Science in Applied Statistics","M","College of Business","Campus","33 credit hours","math","http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s",29.5824,-98.6214
"The University of Texas at San Antonio","Texas","San Antonio",2,"Master of Science in Data Analytics","M","College of Business","Campus","30 credits","math, statistics","http://graduateschool.utsa.edu/future-students/academic-programs/applied-statistics-m.s",29.5824,-98.6214
"University of North Texas","Texas","Denton",1,"MS - Business Analytics","M","College of Business","Campus","36 credit hours","statistics, math, economics, computer science, financial accounting","http://www.cob.unt.edu/programs/masters/tracksheets/MS%20Business%20Analytics.pdf",33.211,-97.1512
"College of William and Mary","Virginia","Williamsburg",1,"Master of Science in Business Analytics","M","Raymond A. Mason School of Business","Campus","30 credits","Not Available","http://mason.wm.edu/programs/msba/index.php",37.2719,-76.7094
"George Mason University","Virginia","Fairfax",4,"Masters in Information Systems","M","Department of Computer Science","Campus","30 units","Not Available","https://cs.gmu.edu/programs/masters/infs/",38.8309,-77.3079
"George Mason University","Virginia","Fairfax",4,"MS in Computational Science","M","Department of Computational and Data Sciences","Campus","30 credits","math","https://cs.gmu.edu/programs/masters/infs/arequire.html",38.8309,-77.3079
"George Mason University","Virginia","Fairfax",4,"MS in Data Analytics Engineering","M","Volgenau School of Engineering","Campus","30 credits","Not Available","https://cs.gmu.edu/programs/masters/infs/deg-req.html",38.8309,-77.3079
"George Mason University","Virginia","Fairfax",4,"Spatial Business Intelligence Graduate Certificate","C","School of Management","Campus","15 credits","Not Available","http://studentaccounts.gmu.edu/wp-content/uploads/Spring2015Graduate.pdf",38.8309,-77.3079
"Radford University","Virginia","Radford",1,"MS in Data and Information Management","M","College of Science and Technology: Department of Information Technology","Campus","no information given","computer science","http://www.radford.edu/content/csat/home/daim/about.html",37.1369,-80.5497
"University of Virginia","Virginia","Charlottesville",2,"Master of Science in Commerce - Business Analytics","M","McIntire School of Commerce","Campus","40 credits / 10 months","statistics","https://www.commerce.virginia.edu/ms-commerce/business-analytics",38.0365,-78.5026
"University of Virginia","Virginia","Charlottesville",2,"Master of Science in Data Science (MSDS)","M","Data Science Institute","Campus","11 months","math, statistics, computer science","https://www.commerce.virginia.edu/ms-commerce/admissions",38.0365,-78.5026
"Virginia Commonwealth University","Virginia","Richmond",1,"Master of Science in Business, concentration in Decision Sciences and Business Analytics","M","School of Business","Campus","30 credit hours","math","http://www.pubapps.vcu.edu/bulletins/prog_search/?did=20172",37.5476,-77.4536
"Virginia Tech","Virginia","Blacksburg",1,"Master of Science in Business Administration - Business Analytics Concentration","M","Pamplin College of Business","Campus","30 Credits","Not Available","http://analytics.cs.vt.edu/edu-msba.php",37.2375,-80.4348
"Bellevue College","Washington","Bellevue",1,"Healthcare Data Analyst Certificate","C","Bellevue College Continuing Education","Campus","227 hours","computer science, math","http://www.bellevuecollege.edu/ce/healthcare-classes/healthcare-data-analyst-certificate/",47.5848,-122.15
"City University of Seattle","Washington","Seattle",1,"Master of Science in Computer Science with Concentration in Big Data Management","M","Technology Institute","Online","45 credit hours","technical bachelor's degree","http://www.cityu.edu/programs-overview/master-science-computer-science/",47.6173,-122.344
"Seattle University","Washington","Seattle",2,"Graduate Certificate in Business Analytics","C","Albers School of Business and Economics","Campus","15 credits","statistics","http://www.seattleu.edu/albers/graduate/certificates/analytics/",47.6101,-122.32
"Seattle University","Washington","Seattle",2,"Master of Science in Business Analytics","M","Albers School of Business and Economics","Campus","45 credits","Not Available","https://www.seattleu.edu/albers/graduate/certificates/business-analytics/",47.6101,-122.32
"University of Washington-Seattle Campus","Washington","Seattle",3,"Certificate in Data Science","C","UW Department of Computer Science & Engineering","Online","9 credits","Not Available","http://www.pce.uw.edu/certificates/data-science.html",47.6562,-122.313
"University of Washington-Seattle Campus","Washington","Seattle",3,"Master of Science in Data Science","M","Interdisciplinary","Campus","2-3 years","Not Available","https://www.pce.uw.edu/certificates/data-science#applymodal_5505",47.6562,-122.313
"University of Washington-Seattle Campus","Washington","Seattle",3,"Ph.D. in Big Data and Data Science","M","eScience Institute","Campus","16 Credit Hours","math,statistics","http://www.pce.uw.edu/certificates/data-science.html",47.6562,-122.313
"University of Washington-Tacoma Campus","Washington","Tacoma",2,"Certificate in Business Analysis","C","Professional and Continuing Education","Campus","9 CEUs","Not Available","http://www.pce.uw.edu/certificates/business-analysis.html",47.245,-122.438
"University of Washington-Tacoma Campus","Washington","Tacoma",2,"Certificate in Business Intelligence","C","UW Department of Computer Science & Engineering","Campus","9 CEUs","Not Available","https://www.pce.uw.edu/certificates/business-analysis#applymodal_5433",47.245,-122.438
"West Virginia University","West Virginia","Morgantown",2,"Master of Professional Studies in Statistical and Data Sciences","M","Department of Statistics","Campus","30 untes","math","http://www.stat.wvu.edu/Programs/mpsstat.html",39.6347,-79.9539
"West Virginia University","West Virginia","Morgantown",2,"Online Hybrid MS in Business Data Analytics","M","College of Business & Economics","Online","12 months","Not Available","http://catalog.wvu.edu/graduate/graduateeducationatwestvirginiauniversity/",39.6347,-79.9539
"University of Wisconsin Colleges","Wisconsin","Madison",1,"Online Master of Science in Data Science","M","UW Extension","Online","36 credits","Not Available","http://datasciencedegree.wisconsin.edu/",43.0716,-89.4045
"University of Wisconsin-Madison","Wisconsin","Madison",1,"Master of Science in Statistics - Data Science","M","Department of Statistics","Campus","30 units","Not Available","https://advanceyourcareer.wisc.edu/degrees/data-science/",43.0739,-89.4054
"University of Wisconsin-Milwaukee","Wisconsin","Milwaukee",1,"Online Graduate Certificate in Business Analytics","C","The Lubar School of Business","Online","15 credits","Not Available","http://www4.uwm.edu/business/programs/certificates/business-analytics.cfm",43.0768,-87.8805
