"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"Johns Hopkins University","Maryland","Baltimore",5,"Online Post-Master's Certificate in Quantitative Methods","C","Advanced Academic Programs","Online","4 courses","Not Available","http://advanced.jhu.edu/academics/graduate-degree-programs/applied-economics/",39.3284,-76.6208
"Loyola University Maryland","Maryland","Baltimore",1,"Master of Science in Data Science","M","Computer Science Department","Campus or online","31 Credits","statistics, math, computer science","http://www.loyola.edu/academics/data-science",39.346,-76.6234
"Notre Dame of Maryland University","Maryland","Baltimore",1,"Master of Science in Analytics in Knowledge Management","M","College of Arts and Sciences","Campus","36 credits","Not Available","http://catalog.ndm.edu/graduate/artsandsciences/knowledgemanagementprogram/",39.3513,-76.6197
"University of Maryland-Baltimore County","Maryland","Baltimore",1,"Master of Science in Information Systems","M","Department of Information Science","Online","34 credit hours","Not Available","http://onlinems.umbc.edu/",39.2567,-76.7116
"University of Maryland-College Park","Maryland","College Park",4,"Master of Information Management","M","College of Information Studies","Campus","36 credits","Not Available","http://ischool.umd.edu/mim",38.9886,-76.9397
"University of Maryland-College Park","Maryland","College Park",4,"MS in Business, Marketing Analytics","M","Robert H. Smith School of Business","Campus","30 credit hours","Not Available","http://ischool.umd.edu/content/applying-mim-program",38.9886,-76.9397
"University of Maryland-College Park","Maryland","College Park",4,"Online MBA - Specialization in Information Systems & Business Analytics","M","Robert H. Smith School of Business","Online","21 months","Not Available","http://ischool.umd.edu/content/mim-curriculum",38.9886,-76.9397
"University of Maryland-College Park","Maryland","College Park",4,"Ph.D. in Information Studies - Concentration in Big Data/Data Science","M","College of Information Studies","Campus","27 Credit Hours","Not Available","http://ischool.umd.edu/tuition-fees",38.9886,-76.9397
"University of Maryland-University College","Maryland","Adelphi",1,"Master of Science in Data Analytics","M","University of Maryland University College Graduate School","Online","39 credit hours","Not Available","http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm",38.9863,-76.9541
"Babson College","Massachusetts","Wellesley",1,"MBA with Business Analytics Concentration","M","F.W. Olin Graduate School of Business","Campus","41-55 credits","Not Available","http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx",42.2965,-71.2695
"Bay Path University","Massachusetts","Longmeadow",1,"MS in Applied Data Science","M","Graduate school","Campus or online","36 credits","math, statistics","http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/",42.0554,-72.584
